kind,idx,us,extra
rollover,487,11,
rollover,488,15,
rollover,489,15,
rollover,490,20,
rollover,491,18,
rollover,492,16,
rollover,493,18,
rollover,494,15,
rollover,495,18,
rollover,496,14,
rollover,497,14,
rollover,498,12,
rollover,499,4,
rollover,500,12,
rollover,501,18,
rollover,502,13,
rollover,503,14,
rollover,504,10,
rollover,505,10,
rollover,506,8,
rollover,507,13,
rollover,508,19,
rollover,509,16,
rollover,510,10,
rollover,511,20,
rollover,512,11,
rollover,513,11,
rollover,514,8,
rollover,515,16,
rollover,516,7,
rollover,517,7,
rollover,518,6,
rollover,519,6,
rollover,520,7,
rollover,521,9,
rollover,522,6,
rollover,523,6,
rollover,524,7,
rollover,525,7,
rollover,526,9,
rollover,527,27,
rollover,528,7,
rollover,529,7,
rollover,530,11,
rollover,531,6,
rollover,532,6,
rollover,533,7,
rollover,534,7,
rollover,535,6,
rollover,536,16,
rollover,537,21,
rollover,538,5,
rollover,539,20,
rollover,540,11,
rollover,541,6,
rollover,542,6,
rollover,543,17,
rollover,544,21,
rollover,545,7,
rollover,546,23,
rollover,547,12,
rollover,548,7,
rollover,549,24,
rollover,550,9,
rollover,551,20,
rollover,552,11,
rollover,553,9,
rollover,554,14,
rollover,555,13,
rollover,556,16,
rollover,557,16,
rollover,558,10,
rollover,559,9,
rollover,560,16,
rollover,561,12,
rollover,562,12,
rollover,563,14,
rollover,564,14,
rollover,565,15,
rollover,566,12,
rollover,567,14,
rollover,568,16,
rollover,569,17,
rollover,570,19,
rollover,571,13,
rollover,572,15,
rollover,573,15,
rollover,574,15,
rollover,575,14,
rollover,576,16,
rollover,577,14,
rollover,578,14,
rollover,579,21,
rollover,580,13,
rollover,581,14,
rollover,582,16,
rollover,583,16,
rollover,584,13,
rollover,585,12,
rollover,586,7,
rollover,587,13,
rollover,588,10,
rollover,589,10,
rollover,590,4,
rollover,591,8,
rollover,592,4,
rollover,593,29,
rollover,594,20,
rollover,595,14,
rollover,596,10,
rollover,597,8,
rollover,598,5,
rollover,599,6,
rollover,600,20,
rollover,601,13,
rollover,602,6,
rollover,603,7,
rollover,604,7,
rollover,605,6,
rollover,606,8,
rollover,607,7,
rollover,608,10,
rollover,609,9,
rollover,610,11,
rollover,611,7,
rollover,612,17,
rollover,613,7,
rollover,614,9,
rollover,615,8,
rollover,616,7,
rollover,617,14,
rollover,618,8,
rollover,619,14,
rollover,620,22,
rollover,621,3,
rollover,622,6,
rollover,623,18,
rollover,624,10,
rollover,625,23,
rollover,626,10,
rollover,627,3,
rollover,628,7,
rollover,629,7,
rollover,630,10,
rollover,631,7,
rollover,632,6,
rollover,633,7,
rollover,634,8,
rollover,635,21,
rollover,636,8,
rollover,637,17,
rollover,638,7,
rollover,639,8,
rollover,640,6,
rollover,641,13,
rollover,642,17,
rollover,643,8,
rollover,644,7,
rollover,645,8,
rollover,646,3,
rollover,647,9,
rollover,648,15,
rollover,649,9,
rollover,650,13,
rollover,651,11,
rollover,652,17,
rollover,653,16,
rollover,654,19,
rollover,655,16,
rollover,656,16,
rollover,657,15,
rollover,658,15,
rollover,659,18,
rollover,660,14,
rollover,661,15,
rollover,662,12,
rollover,663,8,
rollover,664,15,
rollover,665,14,
rollover,666,17,
rollover,667,15,
rollover,668,7,
rollover,669,11,
rollover,670,12,
rollover,671,10,
rollover,672,10,
rollover,673,12,
rollover,674,13,
rollover,675,7,
rollover,676,13,
rollover,677,20,
rollover,678,10,
rollover,679,20,
rollover,680,10,
rollover,681,8,
rollover,682,9,
rollover,683,9,
rollover,684,9,
rollover,685,7,
rollover,686,10,
rollover,687,8,
rollover,688,18,
rollover,689,7,
rollover,690,7,
rollover,691,18,
rollover,692,8,
rollover,693,18,
rollover,694,7,
rollover,695,8,
rollover,696,7,
rollover,697,14,
rollover,698,21,
rollover,699,7,
rollover,700,6,
rollover,701,7,
rollover,702,7,
rollover,703,21,
rollover,704,19,
rollover,705,8,
rollover,706,6,
rollover,707,7,
rollover,708,6,
rollover,709,26,
rollover,710,17,
rollover,711,22,
rollover,712,19,
rollover,713,20,
rollover,714,7,
rollover,715,6,
rollover,716,4,
rollover,717,7,
rollover,718,7,
rollover,719,20,
rollover,720,7,
rollover,721,5,
rollover,722,6,
rollover,723,7,
rollover,724,13,
rollover,725,23,
rollover,726,11,
rollover,727,7,
rollover,728,7,
rollover,729,6,
rollover,730,7,
rollover,731,13,
rollover,732,4,
rollover,733,7,
rollover,734,6,
rollover,735,6,
rollover,736,4,
rollover,737,6,
rollover,738,15,
rollover,739,14,
rollover,740,8,
rollover,741,7,
rollover,742,7,
rollover,743,15,
rollover,744,7,
rollover,745,7,
rollover,746,8,
rollover,747,6,
rollover,748,6,
rollover,749,22,
rollover,750,34,
rollover,751,8,
rollover,752,13,
rollover,753,8,
rollover,754,6,
rollover,755,8,
rollover,756,13,
rollover,757,19,
rollover,758,7,
rollover,759,13,
rollover,760,19,
rollover,761,12,
rollover,762,16,
rollover,763,23,
rollover,764,11,
rollover,765,8,
rollover,766,17,
rollover,767,14,
rollover,768,23,
rollover,769,6,
rollover,770,8,
rollover,771,8,
rollover,772,14,
rollover,773,12,
rollover,774,15,
rollover,775,12,
rollover,776,22,
rollover,777,15,
rollover,778,7,
rollover,779,7,
rollover,780,8,
rollover,781,7,
rollover,782,7,
rollover,783,13,
rollover,784,7,
rollover,785,7,
rollover,786,7,
rollover,787,6,
rollover,788,3,
rollover,789,7,
rollover,790,12,
rollover,791,25,
rollover,792,5,
rollover,793,3,
rollover,794,6,
rollover,795,6,
rollover,796,9,
rollover,797,7,
rollover,798,20,
rollover,799,7,
rollover,800,5,
rollover,801,7,
rollover,802,6,
rollover,803,22,
rollover,804,6,
rollover,805,36,
rollover,806,5,
rollover,807,7,
rollover,808,6,
rollover,809,10,
rollover,810,19,
rollover,811,13,
rollover,812,23,
rollover,813,6,
rollover,814,7,
rollover,815,7,
rollover,816,7,
rollover,817,15,
rollover,818,22,
rollover,819,19,
rollover,820,10,
rollover,821,7,
rollover,822,7,
rollover,823,7,
rollover,824,22,
rollover,825,25,
rollover,826,9,
rollover,827,7,
rollover,828,7,
rollover,829,6,
rollover,830,7,
rollover,831,14,
rollover,832,26,
rollover,833,6,
rollover,834,20,
rollover,835,6,
rollover,836,7,
rollover,837,9,
rollover,838,20,
rollover,839,21,
rollover,840,7,
rollover,841,7,
rollover,842,7,
rollover,843,5,
rollover,844,7,
rollover,845,7,
rollover,846,9,
rollover,847,6,
rollover,848,7,
rollover,849,9,
rollover,850,7,
rollover,851,7,
rollover,852,7,
rollover,853,5,
rollover,854,6,
rollover,855,7,
rollover,856,21,
rollover,857,14,
rollover,858,8,
rollover,859,24,
rollover,860,12,
rollover,861,6,
rollover,862,6,
rollover,863,21,
rollover,864,22,
rollover,865,7,
rollover,866,16,
rollover,867,6,
rollover,868,5,
rollover,869,5,
rollover,870,5,
rollover,871,7,
rollover,872,13,
rollover,873,6,
rollover,874,8,
rollover,875,7,
rollover,876,4,
rollover,877,9,
rollover,878,8,
rollover,879,7,
rollover,880,22,
rollover,881,6,
rollover,882,7,
rollover,883,7,
rollover,884,7,
rollover,885,19,
rollover,886,6,
rollover,887,11,
rollover,888,6,
rollover,889,7,
rollover,890,7,
rollover,891,20,
rollover,892,20,
rollover,893,12,
rollover,894,8,
rollover,895,8,
rollover,896,7,
rollover,897,8,
rollover,898,23,
rollover,899,10,
rollover,900,7,
rollover,901,10,
rollover,902,6,
rollover,903,7,
rollover,904,9,
rollover,905,6,
rollover,906,7,
rollover,907,7,
rollover,908,7,
rollover,909,6,
rollover,910,9,
rollover,911,6,
rollover,912,23,
rollover,913,9,
rollover,914,34,
rollover,915,7,
rollover,916,6,
rollover,917,6,
rollover,918,5,
rollover,919,9,
rollover,920,21,
rollover,921,7,
rollover,922,32,
rollover,923,6,
rollover,924,6,
rollover,925,7,
rollover,926,7,
rollover,927,7,
rollover,928,7,
rollover,929,6,
rollover,930,7,
rollover,931,7,
rollover,932,7,
rollover,933,20,
rollover,934,19,
rollover,935,23,
rollover,936,21,
rollover,937,7,
rollover,938,3,
rollover,939,21,
rollover,940,8,
rollover,941,7,
rollover,942,6,
rollover,943,18,
rollover,944,6,
rollover,945,7,
rollover,946,8,
rollover,947,10,
rollover,948,10,
rollover,949,8,
rollover,950,10,
rollover,951,6,
rollover,952,4,
rollover,953,17,
rollover,954,28,
rollover,955,22,
rollover,956,9,
rollover,957,9,
rollover,958,7,
rollover,959,7,
rollover,960,10,
rollover,961,19,
rollover,962,6,
rollover,963,7,
rollover,964,6,
rollover,965,6,
rollover,966,7,
rollover,967,7,
rollover,968,7,
rollover,969,7,
rollover,970,6,
rollover,971,7,
rollover,972,6,
rollover,973,36,
rollover,974,13,
rollover,975,6,
rollover,976,6,
rollover,977,8,
rollover,978,8,
rollover,979,8,
rollover,980,19,
rollover,981,20,
rollover,982,9,
rollover,983,14,
rollover,984,8,
rollover,985,18,
rollover,986,7,
rollover,987,38,
rollover,988,7,
rollover,989,19,
rollover,990,6,
rollover,991,8,
rollover,992,7,
rollover,993,3,
